"Gen_sp","Nest_place","Nest_construction","Sociality","Parasitic","ITfam","PDrar20","tongue","family","visitation_wt","visitation_cb","visitation_bb"
"Lasioglossum_leucocomum","soil","Excavator","Eusocial","No",1.28660714285714,1087.21470264675,1.627,"Halictidae",6,NA,1
"Lasioglossum_lineatulum","soil","Excavator","Eusocial","No",1.285,1490.22354006691,1.75560208907828,"Halictidae",NA,1,NA
"Lasioglossum_mitchelli","soil","Excavator","Eusocial","No",1.1,1473.6564,1.27766666666667,"Halictidae",16,NA,NA
"Lasioglossum_nymphaearum","soil","Excavator","Eusocial","No",1.475,1184.30945272292,2.00410017474145,"Halictidae",2,NA,NA
"Lasioglossum_oblongum","wood","Excavator","Eusocial","No",1.23159090909091,1885.62766181445,1.68549280109403,"Halictidae",1,17,1
"Lasioglossum_obscurum","soil","Excavator","Eusocial","No",1.3066666666,1534.21046199784,1.78401008942484,"Halictidae",1,NA,NA
"Lasioglossum_paradmirandum","soil","Excavator","Eusocial","No",0.9262488,1205.38138278118,1.28214646233826,"Halictidae",14,NA,NA
"Lasioglossum_pectorale","soil","Excavator","Solitary","No",1.448,1305.72787631401,2.002125,"Halictidae",6,NA,NA
"Lasioglossum_pilosum","soil","Excavator","Eusocial","No",1.20642857142857,1480.90407550955,1.803,"Halictidae",22,3,1
"Lasioglossum_rozeni","soil","Non_excavator","Solitary","Yes",1.29160592281424,1490.22354006691,1.76426538429483,"Halictidae",1,NA,NA
"Lasioglossum_smilacinae","soil","Excavator","Eusocial","No",1.6015625,1490.22354006691,2.1689084569756,"Halictidae",1,NA,NA
"Lasioglossum_subviridatum","wood","Excavator","Eusocial","No",1.19870129863636,1408.33991250587,1.64225889641354,"Halictidae",NA,18,NA
"Lasioglossum_tegulare","soil","Excavator","Eusocial","No",0.928,1337.11845849881,1.30675,"Halictidae",4,NA,NA
"Lasioglossum_trigeminum","soil","Excavator","Eusocial","No",1.29160592281424,1470.79855473282,1.4485,"Halictidae",2,1,NA
"Lasioglossum_truncatum","soil","Excavator","Eusocial","No",1.55,1490.22354006691,2.05,"Halictidae",1,NA,NA
"Lasioglossum_versatum","soil","Excavator","Eusocial","No",1.35333333333333,1559.5263017939,1.71652631578947,"Halictidae",36,2,1
"Lasioglossum_weemsi","soil","Excavator","Eusocial","No",1.13125,1435.43584694953,1.55344304462132,"Halictidae",3,NA,2
"Lasioglossum_zephyrum","soil","Excavator","Eusocial","No",1.438,1530.29776410804,1.95581429929719,"Halictidae",2,NA,NA
"Megachile_addenda","soil","Excavator","Solitary","No",3.325,993.366374860453,6.158,"Megachilidae",NA,1,NA
"Megachile_gemula","hole","Non_excavator","Solitary","No",3.225,993.366374860453,5.75479869897557,"Megachilidae",NA,1,NA
"Megachile_mendica","hole","Non_excavator","Solitary","No",3.0625,1159.40488408329,5.03542857142857,"Megachilidae",1,1,NA
"Megachile_texana","hole","Non_excavator","Solitary","No",3.34083333333333,827.327865637616,5.9530869292398,"Megachilidae",NA,2,NA
"Melissodes_bimaculata","soil","Excavator","Solitary","No",2.92,1401.11196883657,6.381,"Apidae",18,NA,NA
"Melitta_americana","soil","Excavator","Solitary","No",2.4125,388,2.46873511476229,"Andrenidae",NA,39,NA
"Nomada_luteola","soil","Non_excavator","Solitary","Yes",1.775,897.3376,3.69496242696075,"Apidae",NA,NA,NA
"Nomada_rodecki","soil","Non_excavator","Solitary","Yes",2.16666666666667,897.3376,4.4744537284714,"Apidae",NA,4,NA
"Osmia_inspergens","hole","Non_excavator","Solitary","No",2.41,1136.21899294712,4.35088863640723,"Megachilidae",NA,2,NA
"Osmia_pumila","hole","Non_excavator","Solitary","No",1.61444444444445,1860.43798589424,3.671103274,"Megachilidae",NA,1,1
"Osmia_virga","hole","Non_excavator","Solitary","No",2.54732142857143,412,4.5886190687009,"Megachilidae",NA,14,NA
"Panurginus_atramontensis","soil","Excavator","Solitary","No",1.45428571433333,1296.26893131173,1.51862174338358,"Andrenidae",NA,1,NA
"Peponapis_pruinosa","soil","Excavator","Solitary","No",3.7066666667,603.319356065356,7.958,"Apidae",18,NA,NA
"Sphecodes_aroniae","soil","Non_excavator","Solitary","Yes",1.47166666666667,1296.26893131173,1.99975209972785,"Halictidae",NA,1,NA
"Sphecodes_fattigi","soil","Non_excavator","Solitary","Yes",1.285714286,1296.26893131173,1.7565389206216,"Halictidae",NA,1,NA
"Sphecodes_stygius","soil","Non_excavator","Solitary","Yes",1.37869047633333,1296.26893131173,1.87830965533243,"Halictidae",NA,NA,NA
"Triepeolus_remigatus","soil","Non_excavator","Solitary","Yes",2.3657852,897.337590367858,4.86850815265421,"Apidae",36,NA,NA
"Xylocopa_virginica","wood","Excavator","fac_social","No",6.06866666666667,1192.71156756987,7.305975,"Apidae",1,8,8
