"Crop","year","Farm","Round","Gen","sp","Gen_sp"
"wt",2010,"bri",1,"Lasioglossum","versatum","Lasioglossum_versatum"
"wt",2010,"bri",1,"Lasioglossum","pilosum","Lasioglossum_pilosum"
"wt",2010,"bri",1,"Lasioglossum","pilosum","Lasioglossum_pilosum"
"wt",2010,"bri",1,"Ceratina","strenua","Ceratina_strenua"
"wt",2010,"bri",1,"Lasioglossum","imitatum","Lasioglossum_imitatum"
"wt",2010,"bri",1,"Lasioglossum","pectorale","Lasioglossum_pectorale"
"wt",2010,"bri",1,"Lasioglossum","pilosum","Lasioglossum_pilosum"
"wt",2010,"bri",1,"Ceratina","strenua","Ceratina_strenua"
"wt",2010,"bri",1,"Lasioglossum","weemsi","Lasioglossum_weemsi"
"wt",2010,"bri",1,"Lasioglossum","weemsi","Lasioglossum_weemsi"
"wt",2010,"bri",1,"Lasioglossum","tegulare","Lasioglossum_tegulare"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Augochlora","pura","Augochlora_pura"
"wt",2010,"ced",2,"Lasioglossum","illinoense","Lasioglossum_illinoense"
"wt",2010,"ced",2,"Lasioglossum","paradmirandum","Lasioglossum_paradmirandum"
"wt",2010,"ced",2,"Lasioglossum","paradmirandum","Lasioglossum_paradmirandum"
"wt",2010,"ced",2,"Lasioglossum","paradmirandum","Lasioglossum_paradmirandum"
"wt",2010,"ced",2,"Bombus","impatiens","Bombus_impatiens"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Peponapis","pruinosa","Peponapis_pruinosa"
"wt",2010,"ced",2,"Lasioglossum","rozeni","Lasioglossum_rozeni"
"wt",2010,"ced",2,"Lasioglossum","mitchelli","Lasioglossum_mitchelli"
"wt",2010,"ced",2,"Lasioglossum","imitatum","Lasioglossum_imitatum"
"wt",2010,"ced",2,"Lasioglossum","paradmirandum","Lasioglossum_paradmirandum"
"wt",2010,"ced",2,"Lasioglossum","imitatum","Lasioglossum_imitatum"
"wt",2010,"ced",2,"Lasioglossum","paradmirandum","Lasioglossum_paradmirandum"
"wt",2010,"ced",2,"Lasioglossum","mitchelli","Lasioglossum_mitchelli"
"wt",2010,"mapa",2,"Bombus","impatiens","Bombus_impatiens"
"wt",2010,"mapa",2,"Augochlora","pura","Augochlora_pura"
"wt",2010,"mapa",2,"Augochlora","pura","Augochlora_pura"
"wt",2010,"mapa",2,"Augochlora","pura","Augochlora_pura"
"wt",2010,"mapa",2,"Augochlora","pura","Augochlora_pura"
